Restaurant,Cuisine,Neighborhood
Dos Caminos Times Square,Mexican,Times Square/Theatre District
Playa Betty's,Mexican,Upper West Side
Trapizzino,Italian,Lower East Side
Oceans,Seafood,Gramercy
Reyna,Mediterranean,Union Square
Blackbarn,American (New),Nomad
Le Pavillon,French,Midtown East
La Voglia,Italian,Upper East Side
Pasta Louise,Italian,Park Slope
Iris,Greek,Midtown West
RA Sushi Bar Restaurant – Times Square,Japanese / Sushi,Times Square/Theatre District
No Work Allowed,Asian Fusion,Midtown East
Brooklyn Chop House - Times Square,Asian Fusion,Times Square/Theatre District
Dinosaur Bar-B-Que - Harlem,Barbecue,Harlem
Lido,Italian,Harlem
Red Rooster Harlem,Soul Food / Southern,Harlem
ABC Kitchen,American (New),Union Square
The Library at The Public,American (New),Noho
Neir's Tavern,American (Traditional),Woodhaven
Tha Phraya,Thai,Upper East Side
La Grande Boucherie,French,Midtown West
Fish Cheeks,Thai,Noho
Yama Ramen,Japanese / Sushi,Midtown West
Broadway Lounge,American (New),Times Square/Theatre District
The Dutch,American (New),Soho
Kissaki,Japanese / Sushi,East Village
Socarrat Paella Bar - Midtown East,Spanish,Midtown East
Crave Fishbar - Midtown,Seafood,Midtown East
Kings of Kobe,Steakhouse,Hells Kitchen
Sake No Hana,Japanese / Sushi,Lower East Side
Bar Sprezzatura,Italian,Times Square/Theatre District
Wagamama - Murray Hill,Asian Fusion,Murray Hill
Bottino,Italian,Chelsea
Noreetuh,Hawaiian,East Village
Twin Tails,Thai,Upper West Side
Charlie Palmer Steak IV,Steakhouse,Times Square/Theatre District
Ocean Prime,Seafood,Midtown West
La Gioconda,Italian,Midtown East
Chez Nick,American (New),Upper East Side
Oda House - Manhattan,Eastern European,Upper East Side
Sarabeth's Central Park South,American (New),Midtown West
Stout NYC Grand Central,American (Traditional),Murray Hill
Crave Fishbar - Upper West Side,Seafood,Upper West Side
Monterey,American (New),Midtown East
Delmonico's,Steakhouse,Lower Manhattan
Kyma,Greek,Flatiron District
Comal,Mexican,Lower East Side
Danji,Korean,Hells Kitchen
Pomp & Circumstance,Mediterranean,Williamsburg
Sabai Thai,Thai,Nomad
Olio e Più,Italian,West Village
Meadowsweet,American (New),Williamsburg
Indochine,Vietnamese,Noho
Melba’s,Soul Food / Southern,Harlem
Moono,Korean,Koreatown
Ophelia Lounge NYC,American (New),Midtown East
Baires Grill New York,Argentinian,Hells Kitchen
Mezze on the River,American (Traditional),Lower Manhattan
Bobo,French,West Village
Maya,Mexican,Upper East Side
One Dine,American (New),Lower Manhattan
Four Twenty Five,American (New),Midtown East
Chazz Palminteri Italian Restaurant,Italian,Midtown West
STK Downtown,Steakhouse,Meatpacking District
Il Falco,Italian,Long Island City
Osteria 57,Italian,Greenwich Village
The Lodge Bar by Stout NYC at Bryant Park,Italian,Midtown West
Ci Siamo,Italian,Chelsea
Maisonetta,Mexican,Mott Haven
Amali,Mediterranean,Upper East Side
Pulperia Latin Mediterranean Kitchen,Mediterranean,Times Square/Theatre District
Le Gratin,French,Lower Manhattan
Oscar Wilde,American (New),Nomad
Mable's Smokehouse and Banquet Hall,Barbecue,Williamsburg
Craft,American (New),Gramercy
Seawolf - Bushwick,Seafood,Bushwick
Morton's The Steakhouse—Manhattan,Steakhouse,Midtown East
Raval Steakhouse,Steakhouse,Tompkinsville
Sungold,American (New),Williamsburg
Carmine's - Upper West Side,Italian,Upper West Side
Momofuku Noodle Bar,Asian Fusion,East Village
Leonetta,Mediterranean,Murray Hill
Bryant Park Grill,American (Traditional),Midtown West
Legasea,American (New),Garment District
Riverpark,American (New),Kips Bay
Steak Frites Bistro,French,Garment District
The Chemistry Room,Japanese / Sushi,Times Square/Theatre District
Wallsé,Austrian,West Village
Stout NYC Bryant Park,American (Traditional),Garment District
Blue Fin,Seafood,Times Square/Theatre District
Giorgio's of Gramercy,American (New),Gramercy
Mastro's Steakhouse NYC,Steakhouse,Midtown West
Hawksmoor,Steakhouse,Gramercy
Langan's,American (New),Times Square/Theatre District
abcV,American (New),Flatiron District
Skinos,Mediterranean,Lower Manhattan
Sant Ambroeus—Brookfield,Italian,Battery Park City
JoJo,American (New),Upper East Side
Akoya,Japanese / Sushi,Times Square/Theatre District
Fandi Mata,Mediterranean,Williamsburg
Via 13,Italian,West Village
Rosemary's Midtown,Italian,Midtown East
La Sirene UWS,French,Upper West Side
Coqodaq,Korean,Flatiron District
Bad Roman,Italian,Upper West Side
Bocca Di Bacco—Chelsea,Italian,Chelsea
Maizal,Mexican,Rosebank
Siren Oyster Bar & Restaurant,Seafood,South Slope
Society Cafe,American (New),Greenwich Village
Koi New York,Japanese / Sushi,Midtown West
Rossini's,Italian,Murray Hill
Mae Mae Cafe & Plant Shop,Eclectic,Mott Haven
Palermo Argentinian Bistro - Gramercy,Argentinian,Gramercy
Mission Ceviche - Union Square,Peruvian,Union Square
Mission Ceviche - Upper East Side,Peruvian,Upper East Side
Dinner Party,American (New),Clinton Hill
Panda Harlem,Chinese,Harlem
Wagamama - Nomad/Flatiron,Asian Fusion,Flatiron District
Barbetta,Italian,Times Square/Theatre District
Ai Fiori,Italian,Midtown West
Hutong,Chinese,Midtown East
Audace,Italian,Nomad
Kubeh,Middle Eastern,Greenwich Village
The Dram Shop Bar,American (Traditional),Park Slope
Kellari Taverna,Greek,Midtown West
Le B.,French,West Village
Ben & Jack's 44th Street,Steakhouse,Midtown East
Mr Chow New York - 57th Street,Chinese,Midtown East
Luigi's,Italian,New Hyde Park
When in Bangkok,Thai,Flushing
Warren Street Bar & Restaurant,American (New),Tribeca
Obao Midtown East,Thai,Midtown East
The Half Pint,Gastropub,Greenwich Village
Felice Montague,Italian,Brooklyn Heights
Tuscan Hills,Italian,Forest Hills
Da Andrea - Chelsea,Italian,Chelsea
Felice on Hudson,Italian,West Village
La Masseria,Italian,Times Square/Theatre District
Bocca Di Bacco—Theatre District,Italian,Hells Kitchen
Kimika,Eclectic,Nolita
Sushi of Gari 46,Japanese / Sushi,Times Square/Theatre District
Bar Milano by Eataly,Italian,Flatiron District
The Shell Seafood Kitchen,Mediterranean,Upper West Side
Flava of the Bronx,Caribbean,Woodstock
Ammos Estiatorio - Grand Central,Mediterranean,Midtown East
ABC Cocina,Latin American,Union Square
Veselka,Ukrainian,East Village
Patrick's on the Hill,Caribbean,Hamilton Heights
Felice 15 Gold Street,Italian,Lower Manhattan
Stout NYC Financial District,American (Traditional),Lower Manhattan
Cuna NYC,Mexican,East Village
Jade Eatery & Lounge,Asian Fusion,Forest Hills
Brass & the Tusk Bar,American (New),Nomad
Sei Less,Chinese,Garment District
Mark's Off Madison,Italian,Nomad
Benjamin Prime,Steakhouse,Murray Hill
Havana Central,Cuban,Times Square/Theatre District
Red Hook Lobster Pound,Seafood,Red Hook
Le Fleur Rouge,Chinese,Park Slope
Mito - Forest Hills,Japanese / Sushi,Forest Hills
Benoit Restaurant & Wine Bar,French,Midtown West
Manhatta,American (New),Lower Manhattan
Lore,Eclectic,South Slope
Sushi Sen-Nin,Japanese / Sushi,Murray Hill
Indian Table,Indian,Cobble Hill
Smith & Wollensky,Steakhouse,Midtown East
Urban Cove Society & Kitchen,American (New),The Seaport
The Independent,American (New),Times Square/Theatre District
HanGawi,Korean,Koreatown
The Flatiron Room - NoMad,American (New),Nomad
Zoì Mediterranean NoMad,Mediterranean,Koreatown
Miriam Upper West Side,Mediterranean,Upper West Side
Park Ave Kitchen by David Burke,American (New),Midtown East
Junoon,Indian,Flatiron District
Nami Nori - Williamsburg,Japanese / Sushi,Williamsburg
Felice 64,Italian,Upper East Side
Bar56,American (New),Dumbo
The Russian Tea Room,Continental,Midtown West
Balade,Middle Eastern,East Village
Pastai,Italian,Chelsea
Essex,Steakhouse,Lower East Side
Chela,Mexican,Park Slope
Pappardella,Italian,Upper West Side
Central Park Boathouse,Continental,Central Park
Alta Calidad,Mexican,Prospect Heights
Dagon,Mediterranean,Upper West Side
The Ribbon—Upper West Side,American (New),Upper West Side
Mokyo,Korean,East Village
Barbalu Bklyn,Italian,Boerum Hill
Dirty French,French,Lower East Side
Nar Restaurant,Mediterranean,Flatiron District
Pete's Tavern,American (Traditional),Gramercy
1803 NYC,Cajun/Creole,Tribeca
Tudor City Steakhouse,Steakhouse,Midtown East
The Palm - Midtown,Steakhouse,Times Square/Theatre District
Boucherie West Village,French,West Village
Il Carino,Italian,Upper East Side
Kyma Hudson Yards,Greek,Hudson Yards
Virgil's Real BBQ - Times Square,Barbecue,Times Square/Theatre District
Bar Primi - Bowery,Italian,East Village
Benny John's Bar and Grill,Steakhouse,Midtown East
Frenchman's Dough,Italian,The Seaport
T. Brasserie,French,The Seaport
Le Basque,French,Union Square
Quality Bistro,French,Midtown West
Villa Berulia,Italian,Murray Hill
Gran Morsi,Italian,Tribeca
Catch NYC,Seafood,Meatpacking District
Jazba,Indian,East Village
Bocca Di Bacco—Hell's Kitchen,Italian,Hells Kitchen
Obao Hell's Kitchen,Thai,Hells Kitchen
Pera SoHo,Mediterranean,Soho
Wayward Fare,Italian,Prospect Heights
Bond 45,Italian,Times Square/Theatre District
Bar Primi - Penn District,Italian,Chelsea
BOTA Supper Club,American (New),St. George
Nudibranch,Korean,East Village
Burger & Lobster Bryant Park,Seafood,Times Square/Theatre District
Marseille,French,Hells Kitchen
Hearth,Italian,East Village
Dagg Thai,Thai,Murray Hill
La Pecora Bianca NoMad,Italian,Nomad
Nice Matin,French,Upper West Side
Trattoria Dell'Arte,Italian,Midtown West
Francie,American (New),Williamsburg
Momoya Soho,Japanese / Sushi,Nolita
Hunt & Fish Club NYC,Steakhouse,Times Square/Theatre District
Scarpetta,Italian,Nomad
Rosevale Cocktail Room,American (New),Hells Kitchen
Travelers Poets & Friends,Italian,West Village
Il Mulino Prime | Soho,Steakhouse,Soho
Wabi Nori,Japanese / Sushi,Lower East Side
Heritage Grand Bakery,Mediterranean,Midtown West
Vino &... - Eataly NYC Downtown,Italian,Lower Manhattan
Crave Fishbar - Upper East Side,Seafood,Upper East Side
The Greenhouse Cafe,American (New),Bay Ridge
Robert,American (New),Midtown West
Rosemary's West Village,Italian,West Village
The Stand,Italian,Union Square
Schilling,Austrian,Lower Manhattan
Olio e Più Bryant Park,Italian,Midtown West
Rosemary's East,Italian,Gramercy
Miriam West Village,Mediterranean,West Village
Sagaponack,Seafood,Flatiron District
Zoì Mediterranean UES,Mediterranean,Upper East Side
Parklife,Mexican,Gowanus
Jing Li,Chinese,Long Island City
Casa Brazilian,Brazilian,Tribeca
Wayan,Asian Fusion,Nolita
Sempre Oggi,Italian,Upper West Side
Strip House Downtown,Steakhouse,Greenwich Village
Vallata,Italian,Gramercy
Dante,Italian,Greenwich Village
ofCorsica,Mediterranean,Chelsea
Cafe D'Alsace,French,Upper East Side
Kyu NYC,Asian Fusion,Noho
Le Jardinier,French,Midtown East
The Paris Cafe,French,The Seaport
AperiBar,Italian,Times Square/Theatre District
Kraam,Thai,Nomad
American Cut Tribeca,Steakhouse,Tribeca
Hard Rock Cafe,American (Traditional),Times Square/Theatre District
Lattanzi Cucina Italiana,Italian,Times Square/Theatre District
Jupiter,Italian,Midtown West
Patsy's Italian Restaurant,Italian,Midtown West
Masseria Dei Vini,Italian,Hells Kitchen
Restaurant Nippon,Japanese / Sushi,Midtown East
Cut,Steakhouse,Lower Manhattan
Altesi Downtown,Italian,Soho
Naks,East Village,
Eléa,Greek,Upper West Side
The Long Room,Irish,Times Square/Theatre District
Del Frisco's Grille,Steakhouse,Midtown West
Palo Santo,Latin American,Park Slope
Industry Kitchen,American (New),The Seaport
Sushi Lab Rooftop,Japanese / Sushi,Times Square/Theatre District
Empire Steak House - Midtown East,Steakhouse,Midtown East
Sicily Osteria,Italian,Times Square/Theatre District
Nick + Stef's Steakhouse,Steakhouse,Midtown West
Bonsaii Tapas & Wine Bar,Continental,Midtown East
The Dynamo Room,Steakhouse,Chelsea
Nino's,Italian,Midtown East
Altesi Ristorante,Italian,Upper East Side
Morgan's Brooklyn Barbecue,Barbecue,Prospect Heights
French Roast,French,Upper West Side
Estiatorio Milos Hudson Yards,Seafood,Hudson Yards
Harta,American (New),Garment District
Uva Next Door,Italian,Upper East Side
Nusr-Et - Midtown,Steakhouse,Midtown West
Gui Steakhouse,Steakhouse,Times Square/Theatre District
The Parliament,American (Traditional),Midtown East
Jack & Charlie’s No. 118,American (New),West Village
Aqua Kyoto,Japanese / Sushi,Flatiron District
Liebman’s Deli,Delicatessen,Riverdale
La Pizza & La Pasta,Italian,Lower Manhattan
Baciccia Pizza e Cucina,Italian,Park Slope
Brooklyn Chop House - Downtown,Steakhouse,Lower Manhattan
Churrascaria Plataforma Brazilian Steakhouse,Brazilian,Midtown West
Zuma,Japanese / Sushi,Murray Hill
The Clocktower,British,Flatiron District
Felice Columbus,Italian,Upper West Side
The Tuck Room,Gastropub,The Seaport
Cebu Bar & Bistro,American (New),Bay Ridge
Veerays,Indian,Midtown East
Next Door,Japanese / Sushi,Noho
Little Maven,American (New),Flatiron District
The Gallery,Japanese / Sushi,Flatiron District
Takumen,Japanese / Sushi,Long Island City
Limusina,Mexican,Hells Kitchen
Stone Park Cafe,American (New),Park Slope
Vin Sur Vingt - E. 51st St.,French,Midtown East
Miriam Upper East Side,Mediterranean,Upper East Side
El Coco - Hell's Kitchen,Mexican,Hells Kitchen
Twenty-Sevens,American (New),Midtown West
Miss Lily's 7A,Caribbean,East Village
Anassa Taverna - Manhattan,Greek,Upper East Side
La Baraka,French,Little Neck
The Dolar Shop Hot Pot,Chinese,East Village
La Pizza & La Pasta,Italian,Flatiron District
Maggie's Place,American (New),Midtown East
The Dining Room at Gramercy Tavern,American (New),Gramercy
Dear Strangers,American (New),Greenwich Village
Isabelle's Osteria,Italian,Gramercy
San Sabino,Italian,West Village
So & So's,American (New),Hells Kitchen
Ginger Ristoranti,Italian,Midtown West
The Quimby,American (New),Jamaica
The Splendid,American (New),Midtown East
Roey's,Italian,West Village
Psaraki,Greek,Williamsburg
Anton’s,American (New),West Village
Torch & Crown Brewing Company,American (New),Hudson Square
Palermo Argentinian Bistro - NYC,Argentinian,Times Square/Theatre District
DomoDomo NYC,Japanese / Sushi,Greenwich Village
Lincoln Ristorante,Italian,Upper West Side
Ilili Restaurant,Mediterranean,Nomad
Jacques Brasserie,French,Upper East Side
"Lorenzo's Restaurant, Bar & Cabaret",Italian,Bloomfield
Yakiniku Futago,Steakhouse,Flatiron District
Masseria East,Italian,Upper East Side
Momoya - Upper West Side,Japanese / Sushi,Upper West Side
Soogil,Korean,East Village
Chito Gvrito NYC,Eastern European,Gramercy
Nougatine at Jean-Georges,American (New),Upper West Side
Pink Taco,Mexican,Times Square/Theatre District
Sofrito on the Hudson,Puerto Rican,Hamilton Heights
Marsanne,Mediterranean,Chelsea
Baci & Abbracci,Italian,Williamsburg
Treadwell Park - Downtown,American (Traditional),Battery Park City
Maiella,Italian,Long Island City
DiWine,American (New),Astoria
Boucherie Union Square,French,Gramercy
Benjamin Steakhouse,Steakhouse,Midtown East
Il Buco Alimentari & Vineria,Italian,Noho
'ino,Italian,Flatiron District
Marlow Bistro,Mediterranean,Upper West Side
Ayza,American (New),Koreatown
Redeye Grill,American (New),Midtown West
Lillie's Victorian—Union Square,American (New),Union Square
Acadia,Mediterranean,Midtown West
The Uptown Garrison,American (New),Washington Heights
La Sirene,French,Soho
Gallaghers Steakhouse,Steakhouse,Times Square/Theatre District
Stout NYC Penn Station,American (Traditional),Herald Square
Copinette,American (New),Midtown East
La Pecora Bianca Midtown,Italian,Midtown East
Calle Dão - Bryant Park,Asian Fusion,Midtown West
Planet Hollywood New York,American (New),Times Square/Theatre District
Kru,Thai,Greenpoint
J’s On The Bay,American (New),Rosebank
The Flatiron Room - Murray Hill,American (New),Murray Hill
Fushimi - Times Square,Japanese / Sushi,Hells Kitchen
Temple Court,American (New),Lower Manhattan
Celeste,Italian,Upper West Side
Clara,American (New),Upper West Side
The Bronx Beer Hall,Pizza,Belmont
Victor's Cafe,Cuban,Times Square/Theatre District
Osteria by Primo,Italian,Todt Hill
House of the Red Pearl,Chinese,The Seaport
Philippe by Philippe Chow Downtown,Chinese,Chelsea
San Carlo,Italian,Soho
Stella 34 Trattoria,Italian,Herald Square
Alice,Italian,West Village
Archer & Goat,American (New),Harlem
Rivercrest,American (New),Astoria
Grotta Azzurra,Italian,Little Italy
Suprema Provisions,Italian,West Village
Tamarind Tribeca,Indian,Tribeca
Henry's End,American (New),Brooklyn Heights
Amity Hall Uptown,American (New),Upper West Side
Lafayette,French,Noho
Tommy Bahama Restaurant–Bar–Store,American (New),Midtown East
Atlantis Prime,Steakhouse,Herald Square
Carne Mare,Steakhouse,The Seaport
Mamo,Italian,Soho
Serra,Italian,Flatiron District
Gabriel's Bar & Restaurant,Italian,Midtown West
Grand Brasserie,French,Midtown East
Da Andrea - Greenwich Village,Italian,Greenwich Village
The Ivy Room,American (New),Nomad
A La Turka,Turkish,Upper East Side
The Otter,Seafood,Soho
Tonchin Brooklyn,Japanese / Sushi,Williamsburg
Union Square Cafe,American (New),Gramercy
Chelsea Ristorante,Italian,Chelsea
Arte Cafe,Italian,Upper West Side
STK Midtown,Steakhouse,Midtown West
The Queensboro,American (Traditional),Jackson Heights
French Louie,French,Boerum Hill
Molyvos,Greek,Hells Kitchen
The Noortwyck,American (New),West Village
Dos Caminos Lexington,Mexican,Midtown East
Del Frisco's Grille - Brookfield Place,Steakhouse,Battery Park City
Dowling’s at The Carlyle,American (Traditional),Upper East Side
The Bar Room at The Modern,American (New),Midtown West
Naro,Korean,Midtown West
Le District Bar & Bistro,French,Battery Park City
Masaaki,Japanese / Sushi,Bayside
Cafe Zaffri,Middle Eastern,Union Square
Blvd Bistro,Soul Food / Southern,Harlem
Zou Zou's,Mediterranean,Hudson Yards
Peggy's,Eclectic,Midtown East
Fogo de Chão Brazilian Steakhouse - World Trade Center,Brazilian,Lower Manhattan
Telio,Greek,Upper West Side
Noodle Bar - Uptown,Asian Fusion,Midtown West
Allora Fifth Ave,Italian,Nomad
La Pecora Bianca Upper East Side,Italian,Upper East Side
Il Mulino New York | Madison,Italian,Midtown East
Paris Bar,French,Midtown West
BKK New York,Thai,Midtown West
Dhamaka,Indian,Lower East Side
Anassa Taverna - Astoria,Greek,Astoria
ilili - Midtown,Mediterranean,Midtown East
Le Tout Va Bien,French,Hells Kitchen
Crazy Pizza,Italian,Soho
Murano Ristorante,Italian,Midtown East
Amélie - Upper West Side,French,Upper West Side
Izakaya Futago,Japanese / Sushi,Midtown East
Cha Cha Tang,Chinese,West Village
Brasserie Cognac - Midtown East,French,Midtown East
Ponty Bistro,French,Harlem
Wan Waan,Thai,Chelsea
Smith & Mills - Rockefeller Center,American (New),Midtown West
Levant on Smith,French,Carroll Gardens
Docks Off 5th,Seafood,Midtown West
Romeo's Italian Restaurant,Italian,Jackson Heights
Renaissance Harlem,American (New),Harlem
La Pecora Bianca Bryant Park,Italian,Midtown West
Burrito Bar,Mexican,West Brighton
Red Room Bar,French,Lower Manhattan
Motek,Mediterranean,Flatiron District
Markette,Caribbean,Chelsea
Arthur & Sons - Murray Hill,Italian,Murray Hill
Tinos,Greek,Upper East Side
UNGLO Thai Restaurant & Bar,Thai,Upper West Side
Pepolino,Italian,Tribeca
Casa Louie,Italian,Hudson Yards
Barlume,Mediterranean,Flatiron District
Saggio,Italian,Washington Heights
Mama Mezze,Mediterranean,Nomad
Don Cheech,Italian,Rosebank
Ralph's Sports Bar,American (New),Dongan Hills
Eataly NYC SoHo,Italian,Soho
Pico De Gallo Bar & Kitchen,Mexican,Upper West Side
Drai's Supper Club,French,West Village
Aquarelle,Seafood,East Village
City Vineyard,American (New),Tribeca
Rosie O'Grady's,American (Traditional),Times Square/Theatre District
Bar Bianchi,Italian,East Village
Naxos,Greek,Williamsburg
El Bistró Tropical,Colombian,Nomad
SaiTong Thai,Thai,Times Square/Theatre District
Pylos,Greek,East Village
8282,Korean,Lower East Side
Le Monde,French,Morningside Heights
Fogo de Chão Brazilian Steakhouse - Brooklyn,Brazilian,Downtown Brooklyn
Bleu Fin,Seafood,Bushwick
Stretch Pizza - Park Ave,Pizza,Flatiron District
Sea by Jungsik,Thai,Chelsea
Reverie,Williamsburg,
Anassa Taverna - Downtown,Greek,Battery Park City
La Pecora Bianca SoHo,Italian,Soho
Quality Italian,Italian,Midtown West
Code Red Restaurant & Lounge,Caribbean,Laconia
Gitano NYC,Mexican,The Seaport
American Brass,American (New),Long Island City
Pascalou,French,Upper East Side
Leon’s,Italian,Greenwich Village
Barrio BX,Puerto Rican,Unionport
Cathédrale,French,East Village
F&J Pine,Italian,Morris Park
Mito - Fort Greene,Japanese / Sushi,Fort Greene
Poppy,American (New),East Village
Surfish Bistro,Peruvian,Gowanus
Sistina,Italian,Upper East Side
Yefsi Estiatorio,Greek,Upper East Side
Mykonian House,Greek,Upper East Side
Aqua Roma,Italian,Flatiron District
ABC Kitchens DUMBO,American (New),Dumbo
Smyth Tavern,American (Traditional),Tribeca
Benihana,Japanese / Sushi,Midtown West
Saigon Social,Vietnamese,Lower East Side
Little Fino,Italian,Williamsburg
La Tête d’Or,Steakhouse,Flatiron District
Ishq,Indian,East Village
Caravaggio,Italian,Upper East Side
iNine Bistro,Eclectic,Mott Haven
Quality Meats,Steakhouse,Midtown West
Bar Chuzo,Latin American,Bay Ridge
Amélie - West Village,French,Greenwich Village
Liman Restaurant,Mediterranean,Coney Island
Catch n' Chop,Steakhouse,Upper East Side
Fogo de Chão Brazilian Steakhouse - Elmhurst,Brazilian,Elmhurst
Amaranth,Mediterranean,Upper East Side
Masalawala & Sons,Indian,Park Slope
Jasmine's Caribbean Cuisine,Caribbean,Times Square/Theatre District
Sojourn Social,American (New),Upper East Side
Maison Passerelle,French,Lower Manhattan
Fresco by Scotto,Italian,Midtown East
PB Brasserie Steak House,French,Harlem
Bar Mercer,Gastropub,Soho
The Mermaid Inn - Upper West Side,Seafood,Upper West Side
Korali Estiatorio,Greek,Upper East Side
Rialto Ristorante,Italian,Astoria
Boni & Mott,Mediterranean,Nolita
La Pecora Bianca Upper West Side,Italian,Upper West Side
Margaux by La Sirène,French,Murray Hill
